trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.19199999999999973, 'e': 0.044546712249676636}",25,12,22.426219695948173,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.18999999999999972, 'e': 0.04365577800468311}",20,3,24.152226514077526,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.18799999999999972, 'e': 0.04278266244458944}",25,3,13.660054309260364,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
157,False,"{'a': 0.18599999999999972, 'e': 0.041927009195697654}",25,7,24.090233985345,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.18399999999999972, 'e': 0.041088469011783695}",25,7,32.35354930226912,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.18199999999999972, 'e': 0.040266699631548025}",20,5,20.528768651249898,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.17999999999999972, 'e': 0.03946136563891706}",25,14,-21.97004493812063,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.17799999999999971, 'e': 0.03867213832613872}",25,8,21.622312830056984,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.1759999999999997, 'e': 0.03789869555961595}",20,9,16.762136035268895,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.1739999999999997, 'e': 0.03714072164842362}",20,0,29.787629006506833,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.1719999999999997, 'e': 0.036397907215455154}",30,18,18.81857716913111,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.1699999999999997, 'e': 0.03566994907114605}",25,15,19.405652315841497,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.1679999999999997, 'e': 0.03495655008972313}",20,9,16.090784252404372,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.1659999999999997, 'e': 0.03425741908792866}",20,13,11.067049813310406,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.1639999999999997, 'e': 0.03357227070617009}",25,7,17.80193866196403,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.1619999999999997, 'e': 0.03290082529204669}",20,8,19.85113515345261,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.1599999999999997, 'e': 0.03224280878620575}",20,11,15.807034403850526,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.1579999999999997, 'e': 0.031597952610481636}",25,10,26.47812220685221,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.1559999999999997, 'e': 0.030965993558272006}",20,5,27.180645991767232,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.1539999999999997, 'e': 0.030346673687106564}",25,13,21.70802868433334,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
